task_id	model_id	label_column	slice_key	slice_value	n_labeled	accuracy	no_precision	no_recall	no_f1	tp_no	fp_no	fn_no
entry_segmentation	baseline_inline_formula_id	boundary_ok_gold	noise_flags	(none)	98	0.6735	0.0000	0.0000	0.0000	0	0	32
entry_segmentation	baseline_inline_formula_id	boundary_ok_gold	noise_flags	markdown_field_heading	78	0.5641	0.0000	0.0000	0.0000	0	0	34
entry_segmentation	baseline_inline_formula_id	boundary_ok_gold	noise_flags	inline_formula_id	56	0.1786	0.1786	1.0000	0.3030	10	46	0
entry_segmentation	baseline_inline_formula_id	boundary_ok_gold	noise_flags	markdown_field_heading|inline_formula_id	10	0.0000	0.0000	0.0000	0.0000	0	10	0
entry_segmentation	baseline_inline_formula_id	boundary_ok_gold	noise_flags	image_contamination	4	1.0000	0.0000	0.0000	0.0000	0	0	0
entry_segmentation	baseline_inline_formula_id	boundary_ok_gold	noise_flags	html_contamination	2	0.0000	0.0000	0.0000	0.0000	0	0	2
entry_segmentation	rule_md_span_v1	boundary_ok_gold	noise_flags	(none)	98	1.0000	1.0000	1.0000	1.0000	32	0	0
entry_segmentation	rule_md_span_v1	boundary_ok_gold	noise_flags	markdown_field_heading	78	0.8974	1.0000	0.7647	0.8667	26	0	8
entry_segmentation	rule_md_span_v1	boundary_ok_gold	noise_flags	inline_formula_id	56	1.0000	1.0000	1.0000	1.0000	10	0	0
entry_segmentation	rule_md_span_v1	boundary_ok_gold	noise_flags	markdown_field_heading|inline_formula_id	10	1.0000	0.0000	0.0000	0.0000	0	0	0
entry_segmentation	rule_md_span_v1	boundary_ok_gold	noise_flags	image_contamination	4	1.0000	0.0000	0.0000	0.0000	0	0	0
entry_segmentation	rule_md_span_v1	boundary_ok_gold	noise_flags	html_contamination	2	1.0000	1.0000	1.0000	1.0000	2	0	0
entry_segmentation	nb_char3_v0	boundary_ok_gold	noise_flags	(none)	49	0.6735	0.5000	0.1250	0.2000	2	2	14
entry_segmentation	nb_char3_v0	boundary_ok_gold	noise_flags	markdown_field_heading	39	0.5641	0.5000	0.0588	0.1053	1	1	16
entry_segmentation	nb_char3_v0	boundary_ok_gold	noise_flags	inline_formula_id	28	0.8214	0.0000	0.0000	0.0000	0	0	5
entry_segmentation	nb_char3_v0	boundary_ok_gold	noise_flags	markdown_field_heading|inline_formula_id	5	1.0000	0.0000	0.0000	0.0000	0	0	0
entry_segmentation	nb_char3_v0	boundary_ok_gold	noise_flags	image_contamination	2	1.0000	0.0000	0.0000	0.0000	0	0	0
entry_segmentation	nb_char3_v0	boundary_ok_gold	noise_flags	html_contamination	1	1.0000	1.0000	1.0000	1.0000	1	0	0
